country,isic_code,measure,reporting_year,currency,power_code,value,prtr_system,value_usd,aggregate
AUS,D,Current prices,1999,AUD,Millions,16339.0,NPI,11764.08,1
AUS,F,Current prices,1999,AUD,Millions,41738.0,NPI,30051.36,3
AUS,G,Current prices,1999,AUD,Millions,64145.0,NPI,46184.4,2
AUS,H,Current prices,1999,AUD,Millions,30895.0,NPI,22244.399999999998,5
AUS,I,Current prices,1999,AUD,Millions,17151.0,NPI,12348.72,2
AUS,J,Current prices,1999,AUD,Millions,25016.0,NPI,18011.52,2
AUS,K,Current prices,1999,AUD,Millions,52103.0,NPI,37514.159999999996,3
AUS,L,Current prices,1999,AUD,Millions,66873.0,NPI,48148.56,1
AUS,M,Current prices,1999,AUD,Millions,31853.0,NPI,22934.16,7
AUS,N,Current prices,1999,AUD,Millions,15545.0,NPI,11192.4,6
AUS,O,Current prices,1999,AUD,Millions,37688.0,NPI,27135.36,1
AUS,P,Current prices,1999,AUD,Millions,29637.0,NPI,21338.64,1
AUS,Q,Current prices,1999,AUD,Millions,34869.0,NPI,25105.68,3
AUS,R,Current prices,1999,AUD,Millions,6892.0,NPI,4962.24,4
AUS,S,Current prices,1999,AUD,Millions,13354.0,NPI,9614.88,3
AUS,46,Current prices,1999,AUD,Millions,31698.0,NPI,22822.559999999998,1
AUS,47,Current prices,1999,AUD,Millions,32447.0,NPI,23361.84,1
AUS,68A,Current prices,1999,AUD,Millions,51802.0,NPI,37297.439999999995,1
AUS,TOT,Current prices,2000,AUD,Millions,645267.0,NPI,464592.24,99
AUS,A,Current prices,2000,AUD,Millions,24739.0,NPI,17812.079999999998,3
AUS,B,Current prices,2000,AUD,Millions,35473.0,NPI,25540.559999999998,5
AUS,C,Current prices,2000,AUD,Millions,77653.0,NPI,55910.159999999996,24
AUS,D,Current prices,2000,AUD,Millions,17663.0,NPI,12717.359999999999,1
AUS,F,Current prices,2000,AUD,Millions,36416.0,NPI,26219.52,3
AUS,G,Current prices,2000,AUD,Millions,66514.0,NPI,47890.08,2
AUS,H,Current prices,2000,AUD,Millions,32235.0,NPI,23209.2,5
AUS,I,Current prices,2000,AUD,Millions,18150.0,NPI,13068.0,2
AUS,J,Current prices,2000,AUD,Millions,26560.0,NPI,19123.2,2
AUS,K,Current prices,2000,AUD,Millions,54704.0,NPI,39386.88,3
AUS,L,Current prices,2000,AUD,Millions,70078.0,NPI,50456.159999999996,1
AUS,M,Current prices,2000,AUD,Millions,36690.0,NPI,26416.8,7
AUS,N,Current prices,2000,AUD,Millions,17969.0,NPI,12937.68,6
AUS,O,Current prices,2000,AUD,Millions,39862.0,NPI,28700.64,1
AUS,P,Current prices,2000,AUD,Millions,32070.0,NPI,23090.399999999998,1
AUS,Q,Current prices,2000,AUD,Millions,37390.0,NPI,26920.8,3
AUS,R,Current prices,2000,AUD,Millions,7228.0,NPI,5204.16,4
AUS,S,Current prices,2000,AUD,Millions,13873.0,NPI,9988.56,3
AUS,46,Current prices,2000,AUD,Millions,32632.0,NPI,23495.04,1
AUS,47,Current prices,2000,AUD,Millions,33882.0,NPI,24395.04,1
AUS,68A,Current prices,2000,AUD,Millions,53703.0,NPI,38666.159999999996,1
AUS,TOT,Current prices,2001,AUD,Millions,691826.0,NPI,498114.72,99
AUS,A,Current prices,2001,AUD,Millions,29839.0,NPI,21484.079999999998,3
AUS,B,Current prices,2001,AUD,Millions,36650.0,NPI,26388.0,5
AUS,C,Current prices,2001,AUD,Millions,79754.0,NPI,57422.88,24
AUS,D,Current prices,2001,AUD,Millions,19094.0,NPI,13747.68,1
AUS,F,Current prices,2001,AUD,Millions,43099.0,NPI,31031.28,3
AUS,G,Current prices,2001,AUD,Millions,72799.0,NPI,52415.28,2
AUS,H,Current prices,2001,AUD,Millions,34392.0,NPI,24762.239999999998,5
AUS,I,Current prices,2001,AUD,Millions,18399.0,NPI,13247.279999999999,2
AUS,J,Current prices,2001,AUD,Millions,27751.0,NPI,19980.719999999998,2
AUS,K,Current prices,2001,AUD,Millions,56453.0,NPI,40646.159999999996,3
AUS,L,Current prices,2001,AUD,Millions,74765.0,NPI,53830.799999999996,1
AUS,M,Current prices,2001,AUD,Millions,39096.0,NPI,28149.12,7
AUS,N,Current prices,2001,AUD,Millions,20122.0,NPI,14487.84,6
AUS,O,Current prices,2001,AUD,Millions,43054.0,NPI,30998.879999999997,1
AUS,P,Current prices,2001,AUD,Millions,33800.0,NPI,24336.0,1
AUS,Q,Current prices,2001,AUD,Millions,40149.0,NPI,28907.28,3
AUS,R,Current prices,2001,AUD,Millions,7421.0,NPI,5343.12,4
AUS,S,Current prices,2001,AUD,Millions,15189.0,NPI,10936.08,3
AUS,46,Current prices,2001,AUD,Millions,35698.0,NPI,25702.559999999998,1
AUS,47,Current prices,2001,AUD,Millions,37101.0,NPI,26712.719999999998,1
AUS,68A,Current prices,2001,AUD,Millions,57039.0,NPI,41068.08,1
AUS,TOT,Current prices,2002,AUD,Millions,732318.0,NPI,527268.96,99
AUS,A,Current prices,2002,AUD,Millions,23184.0,NPI,16692.48,3
AUS,B,Current prices,2002,AUD,Millions,36659.0,NPI,26394.48,5
AUS,C,Current prices,2002,AUD,Millions,87170.0,NPI,62762.399999999994,24
