national_facility_and_generic_sector_id,generic_sector_code,sector
52664,22,3.844832709692199
16916,22,3.844832709692199
62658,24,4.720494698936228
57458,24,4.720494698936228
9092,24,4.720494698936228
28065,24,4.720494698936228
10796,24,4.720494698936228
42774,24,4.720494698936228
45070,24,4.720494698936228
62431,24,4.720494698936228
25851,24,4.720494698936228
22459,24,4.720494698936228
14046,24,4.720494698936228
45871,24,4.720494698936228
36503,25,4.384000622327908
44253,25,4.384000622327908
12793,25,4.384000622327908
55774,25,4.384000622327908
16555,25,4.384000622327908
47988,25,4.384000622327908
14623,25,4.384000622327908
26149,25,4.384000622327908
9616,25,4.384000622327908
37853,22,3.844832709692199
16246,28,4.687371624275464
17094,28,4.687371624275464
19039,28,4.687371624275464
10718,24,4.720494698936228
52550,24,4.720494698936228
33994,25,4.384000622327908
15152,25,4.384000622327908
44974,25,4.384000622327908
47540,28,4.687371624275464
34157,28,4.687371624275464
45628,28,4.687371624275464
32931,28,4.687371624275464
37224,25,4.384000622327908
19409,28,4.687371624275464
14927,28,4.687371624275464
33845,28,4.687371624275464
50388,28,4.687371624275464
35231,26,4.029764486677171
15384,26,4.029764486677171
52733,26,4.029764486677171
58074,27,4.33176213250464
38538,27,4.33176213250464
6536,27,4.33176213250464
16731,27,4.33176213250464
38842,27,4.33176213250464
15338,23,4.279539758446484
28962,27,4.33176213250464
28984,23,4.279539758446484
20471,28,4.687371624275464
8251,25,4.384000622327908
20366,93,4.188800443722485
6648,16,3.99355315824414
47998,18,3.6896596212259047
14786,23,4.279539758446484
22402,24,4.720494698936228
57117,24,4.720494698936228
8733,24,4.720494698936228
49949,24,4.720494698936228
20528,24,4.720494698936228
27429,24,4.720494698936228
14762,24,4.720494698936228
15593,24,4.720494698936228
30849,24,4.720494698936228
23429,24,4.720494698936228
43015,24,4.720494698936228
43181,24,4.720494698936228
29784,24,4.720494698936228
26509,24,4.720494698936228
38306,24,4.720494698936228
45930,24,4.720494698936228
49768,24,4.720494698936228
53748,24,4.720494698936228
30387,24,4.720494698936228
62673,24,4.720494698936228
59523,24,4.720494698936228
14937,25,4.384000622327908
39116,25,4.384000622327908
9539,25,4.384000622327908
58874,25,4.384000622327908
61533,30,4.417699950228338
7737,25,4.384000622327908
43009,25,4.384000622327908
35991,25,4.384000622327908
33059,25,4.384000622327908
37360,28,4.687371624275464
25428,24,4.720494698936228
41566,24,4.720494698936228
43241,17,3.747436557932603
56677,25,4.384000622327908
44175,25,4.384000622327908
28001,28,4.687371624275464
52715,28,4.687371624275464
37563,28,4.687371624275464
37931,28,4.687371624275464
58885,28,4.687371624275464
30003,28,4.687371624275464
61321,26,4.029764486677171
22481,26,4.029764486677171
8731,26,4.029764486677171
15704,26,4.029764486677171
24056,26,4.029764486677171
15666,27,4.33176213250464
54440,27,4.33176213250464
44719,27,4.33176213250464
28162,27,4.33176213250464
28910,29,4.088547011141102
23337,29,4.088547011141102
17410,27,4.33176213250464
14813,28,4.687371624275464
16785,28,4.687371624275464
17981,28,4.687371624275464
8677,25,4.384000622327908
52903,22,3.844832709692199
35158,24,4.720494698936228
8558,24,4.720494698936228
43493,24,4.720494698936228
58345,24,4.720494698936228
60851,24,4.720494698936228
38323,24,4.720494698936228
41802,24,4.720494698936228
56086,24,4.720494698936228
50346,24,4.720494698936228
31319,25,4.384000622327908
15129,25,4.384000622327908
40500,25,4.384000622327908
8283,28,4.687371624275464
29029,25,4.384000622327908
10496,25,4.384000622327908
22334,25,4.384000622327908
19057,25,4.384000622327908
6754,25,4.384000622327908
20526,24,4.720494698936228
15954,25,4.384000622327908
47925,25,4.384000622327908
50955,25,4.384000622327908
33844,28,4.687371624275464
33842,28,4.687371624275464
15712,28,4.687371624275464
30020,28,4.687371624275464
60467,26,4.029764486677171
35686,26,4.029764486677171
56709,26,4.029764486677171
60440,27,4.33176213250464
6535,27,4.33176213250464
18729,27,4.33176213250464
22159,29,4.088547011141102
29821,27,4.33176213250464
35761,23,4.279539758446484
40145,28,4.687371624275464
44757,28,4.687371624275464
57005,28,4.687371624275464
25999,30,4.417699950228338
13345,29,4.088547011141102
39881,30,4.417699950228338
40615,30,4.417699950228338
6729,45,3.3592114278300094
25677,35,4.886985793447717
27783,35,4.886985793447717
27791,35,4.886985793447717
29307,22,3.844832709692199
32715,22,3.844832709692199
10421,24,4.720494698936228
24821,24,4.720494698936228
21151,24,4.720494698936228
23832,24,4.720494698936228
58158,24,4.720494698936228
32275,24,4.720494698936228
37773,24,4.720494698936228
42302,24,4.720494698936228
43479,24,4.720494698936228
45245,24,4.720494698936228
38325,24,4.720494698936228
24927,24,4.720494698936228
42676,24,4.720494698936228
24382,24,4.720494698936228
8393,24,4.720494698936228
50697,24,4.720494698936228
15066,25,4.384000622327908
40715,25,4.384000622327908
38659,25,4.384000622327908
31566,25,4.384000622327908
14739,25,4.384000622327908
39781,25,4.384000622327908
39878,25,4.384000622327908
41170,25,4.384000622327908
9569,28,4.687371624275464
57059,30,4.417699950228338
51826,25,4.384000622327908
40139,25,4.384000622327908
41398,25,4.384000622327908
20357,25,4.384000622327908
13292,25,4.384000622327908
10401,25,4.384000622327908
11106,25,4.384000622327908
26714,25,4.384000622327908
31272,28,4.687371624275464
57778,28,4.687371624275464
10362,25,4.384000622327908
14752,25,4.384000622327908
22747,28,4.687371624275464
47139,28,4.687371624275464
23398,28,4.687371624275464
20654,28,4.687371624275464
50382,28,4.687371624275464
33816,28,4.687371624275464
15739,28,4.687371624275464
17443,27,4.33176213250464
29470,27,4.33176213250464
42503,28,4.687371624275464
10462,26,4.029764486677171
42342,26,4.029764486677171
9258,26,4.029764486677171
47816,26,4.029764486677171
60362,27,4.33176213250464
12921,27,4.33176213250464
16165,27,4.33176213250464
50958,27,4.33176213250464
31841,27,4.33176213250464
22439,27,4.33176213250464
40648,27,4.33176213250464
33383,27,4.33176213250464
44577,27,4.33176213250464
30157,27,4.33176213250464
21470,29,4.088547011141102
18053,27,4.33176213250464
38642,27,4.33176213250464
18963,23,4.279539758446484
36781,23,4.279539758446484
13063,23,4.279539758446484
39930,28,4.687371624275464
50230,28,4.687371624275464
33548,28,4.687371624275464
38660,28,4.687371624275464
45652,28,4.687371624275464
57964,28,4.687371624275464
41855,16,3.99355315824414
52462,16,3.99355315824414
44168,32,4.1764416285691395
54451,84,4.666321565126627
53964,84,4.666321565126627
26701,35,4.886985793447717
43787,20,3.443381881561369
31064,24,4.720494698936228
44306,24,4.720494698936228
62655,24,4.720494698936228
24214,24,4.720494698936228
38143,24,4.720494698936228
22247,24,4.720494698936228
25653,24,4.720494698936228
26471,24,4.720494698936228
44244,24,4.720494698936228
33418,24,4.720494698936228
33473,24,4.720494698936228
23063,24,4.720494698936228
35225,24,4.720494698936228
16465,24,4.720494698936228
39748,24,4.720494698936228
14651,24,4.720494698936228
8468,24,4.720494698936228
8621,24,4.720494698936228
16612,25,4.384000622327908
35504,25,4.384000622327908
40941,25,4.384000622327908
41397,25,4.384000622327908
14048,25,4.384000622327908
55943,25,4.384000622327908
39896,25,4.384000622327908
22224,25,4.384000622327908
58379,22,3.844832709692199
47879,22,3.844832709692199
60871,20,3.443381881561369
14790,25,4.384000622327908
14791,25,4.384000622327908
56758,28,4.687371624275464
24233,28,4.687371624275464
48403,25,4.384000622327908
24540,28,4.687371624275464
48159,28,4.687371624275464
8957,26,4.029764486677171
45667,26,4.029764486677171
47021,26,4.029764486677171
26030,26,4.029764486677171
12263,26,4.029764486677171
57492,27,4.33176213250464
18624,27,4.33176213250464
57965,27,4.33176213250464
49915,27,4.33176213250464
10749,27,4.33176213250464
21531,29,4.088547011141102
18404,29,4.088547011141102
38131,23,4.279539758446484
58367,25,4.384000622327908
24535,28,4.687371624275464
18491,28,4.687371624275464
52218,29,4.088547011141102
21443,30,4.417699950228338
56433,33,4.370404384849069
48308,22,3.844832709692199
6649,22,3.844832709692199
16794,24,4.720494698936228
11118,24,4.720494698936228
13053,24,4.720494698936228
